country,region,happiness rank,,
Switzerland,Western Europe,1,When  'Switzerland' then 'Western Europe',When  'Switzerland' then 'Western Europe'
Iceland,Western Europe,2,When  'Iceland' then 'Western Europe',When  'Iceland' then 'Western Europe'
Denmark,Western Europe,3,When  'Denmark' then 'Western Europe',When  'Denmark' then 'Western Europe'
Norway,Western Europe,4,When  'Norway' then 'Western Europe',When  'Norway' then 'Western Europe'
Canada,North America,5,When  'Canada' then 'North America',When  'Canada' then 'North America'
Finland,Western Europe,6,When  'Finland' then 'Western Europe',When  'Finland' then 'Western Europe'
Netherlands,Western Europe,7,When  'Netherlands' then 'Western Europe',When  'Netherlands' then 'Western Europe'
Sweden,Western Europe,8,When  'Sweden' then 'Western Europe',When  'Sweden' then 'Western Europe'
New Zealand,Australia and New Zealand,9,When  'New Zealand' then 'Australia and New Zealand',When  'New Zealand' then 'Australia and New Zealand'
Australia,Australia and New Zealand,10,When  'Australia' then 'Australia and New Zealand',When  'Australia' then 'Australia and New Zealand'
Israel,Middle East and Northern Africa,11,When  'Israel' then 'Middle East and Northern Africa',When  'Israel' then 'Middle East and Northern Africa'
Costa Rica,Latin America and Caribbean,12,When  'Costa Rica' then 'Latin America and Caribbean',When  'Costa Rica' then 'Latin America and Caribbean'
Austria,Western Europe,13,When  'Austria' then 'Western Europe',When  'Austria' then 'Western Europe'
Mexico,Latin America and Caribbean,14,When  'Mexico' then 'Latin America and Caribbean',When  'Mexico' then 'Latin America and Caribbean'
United States,North America,15,When  'United States' then 'North America',When  'United States' then 'North America'
Brazil,Latin America and Caribbean,16,When  'Brazil' then 'Latin America and Caribbean',When  'Brazil' then 'Latin America and Caribbean'
Luxembourg,Western Europe,17,When  'Luxembourg' then 'Western Europe',When  'Luxembourg' then 'Western Europe'
Ireland,Western Europe,18,When  'Ireland' then 'Western Europe',When  'Ireland' then 'Western Europe'
Belgium,Western Europe,19,When  'Belgium' then 'Western Europe',When  'Belgium' then 'Western Europe'
United Arab Emirates,Middle East and Northern Africa,20,When  'United Arab Emirates' then 'Middle East and Northern Africa',When  'United Arab Emirates' then 'Middle East and Northern Africa'
United Kingdom,Western Europe,21,When  'United Kingdom' then 'Western Europe',When  'United Kingdom' then 'Western Europe'
Oman,Middle East and Northern Africa,22,When  'Oman' then 'Middle East and Northern Africa',When  'Oman' then 'Middle East and Northern Africa'
Venezuela,Latin America and Caribbean,23,When  'Venezuela' then 'Latin America and Caribbean',When  'Venezuela' then 'Latin America and Caribbean'
Singapore,Southeastern Asia,24,When  'Singapore' then 'Southeastern Asia',When  'Singapore' then 'Southeastern Asia'
Panama,Latin America and Caribbean,25,When  'Panama' then 'Latin America and Caribbean',When  'Panama' then 'Latin America and Caribbean'
Germany,Western Europe,26,When  'Germany' then 'Western Europe',When  'Germany' then 'Western Europe'
Chile,Latin America and Caribbean,27,When  'Chile' then 'Latin America and Caribbean',When  'Chile' then 'Latin America and Caribbean'
Qatar,Middle East and Northern Africa,28,When  'Qatar' then 'Middle East and Northern Africa',When  'Qatar' then 'Middle East and Northern Africa'
France,Western Europe,29,When  'France' then 'Western Europe',When  'France' then 'Western Europe'
Argentina,Latin America and Caribbean,30,When  'Argentina' then 'Latin America and Caribbean',When  'Argentina' then 'Latin America and Caribbean'
Czech Republic,Central and Eastern Europe,31,When  'Czech Republic' then 'Central and Eastern Europe',When  'Czech Republic' then 'Central and Eastern Europe'
Uruguay,Latin America and Caribbean,32,When  'Uruguay' then 'Latin America and Caribbean',When  'Uruguay' then 'Latin America and Caribbean'
Colombia,Latin America and Caribbean,33,When  'Colombia' then 'Latin America and Caribbean',When  'Colombia' then 'Latin America and Caribbean'
Thailand,Southeastern Asia,34,When  'Thailand' then 'Southeastern Asia',When  'Thailand' then 'Southeastern Asia'
Saudi Arabia,Middle East and Northern Africa,35,When  'Saudi Arabia' then 'Middle East and Northern Africa',When  'Saudi Arabia' then 'Middle East and Northern Africa'
Spain,Western Europe,36,When  'Spain' then 'Western Europe',When  'Spain' then 'Western Europe'
Malta,Western Europe,37,When  'Malta' then 'Western Europe',When  'Malta' then 'Western Europe'
Taiwan,Eastern Asia,38,When  'Taiwan' then 'Eastern Asia',When  'Taiwan' then 'Eastern Asia'
Kuwait,Middle East and Northern Africa,39,When  'Kuwait' then 'Middle East and Northern Africa',When  'Kuwait' then 'Middle East and Northern Africa'
Suriname,Latin America and Caribbean,40,When  'Suriname' then 'Latin America and Caribbean',When  'Suriname' then 'Latin America and Caribbean'
Trinidad and Tobago,Latin America and Caribbean,41,When  'Trinidad and Tobago' then 'Latin America and Caribbean',When  'Trinidad and Tobago' then 'Latin America and Caribbean'
El Salvador,Latin America and Caribbean,42,When  'El Salvador' then 'Latin America and Caribbean',When  'El Salvador' then 'Latin America and Caribbean'
Guatemala,Latin America and Caribbean,43,When  'Guatemala' then 'Latin America and Caribbean',When  'Guatemala' then 'Latin America and Caribbean'
Uzbekistan,Central and Eastern Europe,44,When  'Uzbekistan' then 'Central and Eastern Europe',When  'Uzbekistan' then 'Central and Eastern Europe'
Slovakia,Central and Eastern Europe,45,When  'Slovakia' then 'Central and Eastern Europe',When  'Slovakia' then 'Central and Eastern Europe'
Japan,Eastern Asia,46,When  'Japan' then 'Eastern Asia',When  'Japan' then 'Eastern Asia'
South Korea,Eastern Asia,47,When  'South Korea' then 'Eastern Asia',When  'South Korea' then 'Eastern Asia'
Ecuador,Latin America and Caribbean,48,When  'Ecuador' then 'Latin America and Caribbean',When  'Ecuador' then 'Latin America and Caribbean'
Bahrain,Middle East and Northern Africa,49,When  'Bahrain' then 'Middle East and Northern Africa',When  'Bahrain' then 'Middle East and Northern Africa'
Italy,Western Europe,50,When  'Italy' then 'Western Europe',When  'Italy' then 'Western Europe'
Bolivia,Latin America and Caribbean,51,When  'Bolivia' then 'Latin America and Caribbean',When  'Bolivia' then 'Latin America and Caribbean'
Moldova,Central and Eastern Europe,52,When  'Moldova' then 'Central and Eastern Europe',When  'Moldova' then 'Central and Eastern Europe'
Paraguay,Latin America and Caribbean,53,When  'Paraguay' then 'Latin America and Caribbean',When  'Paraguay' then 'Latin America and Caribbean'
Kazakhstan,Central and Eastern Europe,54,When  'Kazakhstan' then 'Central and Eastern Europe',When  'Kazakhstan' then 'Central and Eastern Europe'
Slovenia,Central and Eastern Europe,55,When  'Slovenia' then 'Central and Eastern Europe',When  'Slovenia' then 'Central and Eastern Europe'
Lithuania,Central and Eastern Europe,56,When  'Lithuania' then 'Central and Eastern Europe',When  'Lithuania' then 'Central and Eastern Europe'
Nicaragua,Latin America and Caribbean,57,When  'Nicaragua' then 'Latin America and Caribbean',When  'Nicaragua' then 'Latin America and Caribbean'
Peru,Latin America and Caribbean,58,When  'Peru' then 'Latin America and Caribbean',When  'Peru' then 'Latin America and Caribbean'
Belarus,Central and Eastern Europe,59,When  'Belarus' then 'Central and Eastern Europe',When  'Belarus' then 'Central and Eastern Europe'
Poland,Central and Eastern Europe,60,When  'Poland' then 'Central and Eastern Europe',When  'Poland' then 'Central and Eastern Europe'
Malaysia,Southeastern Asia,61,When  'Malaysia' then 'Southeastern Asia',When  'Malaysia' then 'Southeastern Asia'
Croatia,Central and Eastern Europe,62,When  'Croatia' then 'Central and Eastern Europe',When  'Croatia' then 'Central and Eastern Europe'
Libya,Middle East and Northern Africa,63,When  'Libya' then 'Middle East and Northern Africa',When  'Libya' then 'Middle East and Northern Africa'
Russia,Central and Eastern Europe,64,When  'Russia' then 'Central and Eastern Europe',When  'Russia' then 'Central and Eastern Europe'
Jamaica,Latin America and Caribbean,65,When  'Jamaica' then 'Latin America and Caribbean',When  'Jamaica' then 'Latin America and Caribbean'
North Cyprus,Western Europe,66,When  'North Cyprus' then 'Western Europe',When  'North Cyprus' then 'Western Europe'
Cyprus,Western Europe,67,When  'Cyprus' then 'Western Europe',When  'Cyprus' then 'Western Europe'
Algeria,Middle East and Northern Africa,68,When  'Algeria' then 'Middle East and Northern Africa',When  'Algeria' then 'Middle East and Northern Africa'
Kosovo,Central and Eastern Europe,69,When  'Kosovo' then 'Central and Eastern Europe',When  'Kosovo' then 'Central and Eastern Europe'
Turkmenistan,Central and Eastern Europe,70,When  'Turkmenistan' then 'Central and Eastern Europe',When  'Turkmenistan' then 'Central and Eastern Europe'
Mauritius,Sub-Saharan Africa,71,When  'Mauritius' then 'Sub-Saharan Africa',When  'Mauritius' then 'Sub-Saharan Africa'
Hong Kong,Eastern Asia,72,When  'Hong Kong' then 'Eastern Asia',When  'Hong Kong' then 'Eastern Asia'
Estonia,Central and Eastern Europe,73,When  'Estonia' then 'Central and Eastern Europe',When  'Estonia' then 'Central and Eastern Europe'
Indonesia,Southeastern Asia,74,When  'Indonesia' then 'Southeastern Asia',When  'Indonesia' then 'Southeastern Asia'
Vietnam,Southeastern Asia,75,When  'Vietnam' then 'Southeastern Asia',When  'Vietnam' then 'Southeastern Asia'
Turkey,Middle East and Northern Africa,76,When  'Turkey' then 'Middle East and Northern Africa',When  'Turkey' then 'Middle East and Northern Africa'
Kyrgyzstan,Central and Eastern Europe,77,When  'Kyrgyzstan' then 'Central and Eastern Europe',When  'Kyrgyzstan' then 'Central and Eastern Europe'
Nigeria,Sub-Saharan Africa,78,When  'Nigeria' then 'Sub-Saharan Africa',When  'Nigeria' then 'Sub-Saharan Africa'
Bhutan,Southern Asia,79,When  'Bhutan' then 'Southern Asia',When  'Bhutan' then 'Southern Asia'
Azerbaijan,Central and Eastern Europe,80,When  'Azerbaijan' then 'Central and Eastern Europe',When  'Azerbaijan' then 'Central and Eastern Europe'
Pakistan,Southern Asia,81,When  'Pakistan' then 'Southern Asia',When  'Pakistan' then 'Southern Asia'
Jordan,Middle East and Northern Africa,82,When  'Jordan' then 'Middle East and Northern Africa',When  'Jordan' then 'Middle East and Northern Africa'
Montenegro,Central and Eastern Europe,82,When  'Montenegro' then 'Central and Eastern Europe',When  'Montenegro' then 'Central and Eastern Europe'
China,Eastern Asia,84,When  'China' then 'Eastern Asia',When  'China' then 'Eastern Asia'
Zambia,Sub-Saharan Africa,85,When  'Zambia' then 'Sub-Saharan Africa',When  'Zambia' then 'Sub-Saharan Africa'
Romania,Central and Eastern Europe,86,When  'Romania' then 'Central and Eastern Europe',When  'Romania' then 'Central and Eastern Europe'
Serbia,Central and Eastern Europe,87,When  'Serbia' then 'Central and Eastern Europe',When  'Serbia' then 'Central and Eastern Europe'
Portugal,Western Europe,88,When  'Portugal' then 'Western Europe',When  'Portugal' then 'Western Europe'
Latvia,Central and Eastern Europe,89,When  'Latvia' then 'Central and Eastern Europe',When  'Latvia' then 'Central and Eastern Europe'
Philippines,Southeastern Asia,90,When  'Philippines' then 'Southeastern Asia',When  'Philippines' then 'Southeastern Asia'
Somaliland region,Sub-Saharan Africa,91,When  'Somaliland region' then 'Sub-Saharan Africa',When  'Somaliland region' then 'Sub-Saharan Africa'
Morocco,Middle East and Northern Africa,92,When  'Morocco' then 'Middle East and Northern Africa',When  'Morocco' then 'Middle East and Northern Africa'
Macedonia,Central and Eastern Europe,93,When  'Macedonia' then 'Central and Eastern Europe',When  'Macedonia' then 'Central and Eastern Europe'
Mozambique,Sub-Saharan Africa,94,When  'Mozambique' then 'Sub-Saharan Africa',When  'Mozambique' then 'Sub-Saharan Africa'
Albania,Central and Eastern Europe,95,When  'Albania' then 'Central and Eastern Europe',When  'Albania' then 'Central and Eastern Europe'
Bosnia and Herzegovina,Central and Eastern Europe,96,When  'Bosnia and Herzegovina' then 'Central and Eastern Europe',When  'Bosnia and Herzegovina' then 'Central and Eastern Europe'
Lesotho,Sub-Saharan Africa,97,When  'Lesotho' then 'Sub-Saharan Africa',When  'Lesotho' then 'Sub-Saharan Africa'
Dominican Republic,Latin America and Caribbean,98,When  'Dominican Republic' then 'Latin America and Caribbean',When  'Dominican Republic' then 'Latin America and Caribbean'
Laos,Southeastern Asia,99,When  'Laos' then 'Southeastern Asia',When  'Laos' then 'Southeastern Asia'
Mongolia,Eastern Asia,100,When  'Mongolia' then 'Eastern Asia',When  'Mongolia' then 'Eastern Asia'
Swaziland,Sub-Saharan Africa,101,When  'Swaziland' then 'Sub-Saharan Africa',When  'Swaziland' then 'Sub-Saharan Africa'
Greece,Western Europe,102,When  'Greece' then 'Western Europe',When  'Greece' then 'Western Europe'
Lebanon,Middle East and Northern Africa,103,When  'Lebanon' then 'Middle East and Northern Africa',When  'Lebanon' then 'Middle East and Northern Africa'
Hungary,Central and Eastern Europe,104,When  'Hungary' then 'Central and Eastern Europe',When  'Hungary' then 'Central and Eastern Europe'
Honduras,Latin America and Caribbean,105,When  'Honduras' then 'Latin America and Caribbean',When  'Honduras' then 'Latin America and Caribbean'
Tajikistan,Central and Eastern Europe,106,When  'Tajikistan' then 'Central and Eastern Europe',When  'Tajikistan' then 'Central and Eastern Europe'
Tunisia,Middle East and Northern Africa,107,When  'Tunisia' then 'Middle East and Northern Africa',When  'Tunisia' then 'Middle East and Northern Africa'
Palestinian Territories,Middle East and Northern Africa,108,When  'Palestinian Territories' then 'Middle East and Northern Africa',When  'Palestinian Territories' then 'Middle East and Northern Africa'
Bangladesh,Southern Asia,109,When  'Bangladesh' then 'Southern Asia',When  'Bangladesh' then 'Southern Asia'
Iran,Middle East and Northern Africa,110,When  'Iran' then 'Middle East and Northern Africa',When  'Iran' then 'Middle East and Northern Africa'
Ukraine,Central and Eastern Europe,111,When  'Ukraine' then 'Central and Eastern Europe',When  'Ukraine' then 'Central and Eastern Europe'
Iraq,Middle East and Northern Africa,112,When  'Iraq' then 'Middle East and Northern Africa',When  'Iraq' then 'Middle East and Northern Africa'
South Africa,Sub-Saharan Africa,113,When  'South Africa' then 'Sub-Saharan Africa',When  'South Africa' then 'Sub-Saharan Africa'
Ghana,Sub-Saharan Africa,114,When  'Ghana' then 'Sub-Saharan Africa',When  'Ghana' then 'Sub-Saharan Africa'
Zimbabwe,Sub-Saharan Africa,115,When  'Zimbabwe' then 'Sub-Saharan Africa',When  'Zimbabwe' then 'Sub-Saharan Africa'
Liberia,Sub-Saharan Africa,116,When  'Liberia' then 'Sub-Saharan Africa',When  'Liberia' then 'Sub-Saharan Africa'
India,Southern Asia,117,When  'India' then 'Southern Asia',When  'India' then 'Southern Asia'
Sudan,Sub-Saharan Africa,118,When  'Sudan' then 'Sub-Saharan Africa',When  'Sudan' then 'Sub-Saharan Africa'
Haiti,Latin America and Caribbean,119,When  'Haiti' then 'Latin America and Caribbean',When  'Haiti' then 'Latin America and Caribbean'
Congo (Kinshasa),Sub-Saharan Africa,120,When  'Congo (Kinshasa)' then 'Sub-Saharan Africa',When  'Congo (Kinshasa)' then 'Sub-Saharan Africa'
Nepal,Southern Asia,121,When  'Nepal' then 'Southern Asia',When  'Nepal' then 'Southern Asia'
Ethiopia,Sub-Saharan Africa,122,When  'Ethiopia' then 'Sub-Saharan Africa',When  'Ethiopia' then 'Sub-Saharan Africa'
Sierra Leone,Sub-Saharan Africa,123,When  'Sierra Leone' then 'Sub-Saharan Africa',When  'Sierra Leone' then 'Sub-Saharan Africa'
Mauritania,Sub-Saharan Africa,124,When  'Mauritania' then 'Sub-Saharan Africa',When  'Mauritania' then 'Sub-Saharan Africa'
Kenya,Sub-Saharan Africa,125,When  'Kenya' then 'Sub-Saharan Africa',When  'Kenya' then 'Sub-Saharan Africa'
Djibouti,Sub-Saharan Africa,126,When  'Djibouti' then 'Sub-Saharan Africa',When  'Djibouti' then 'Sub-Saharan Africa'
Armenia,Central and Eastern Europe,127,When  'Armenia' then 'Central and Eastern Europe',When  'Armenia' then 'Central and Eastern Europe'
Botswana,Sub-Saharan Africa,128,When  'Botswana' then 'Sub-Saharan Africa',When  'Botswana' then 'Sub-Saharan Africa'
Myanmar,Southeastern Asia,129,When  'Myanmar' then 'Southeastern Asia',When  'Myanmar' then 'Southeastern Asia'
Georgia,Central and Eastern Europe,130,When  'Georgia' then 'Central and Eastern Europe',When  'Georgia' then 'Central and Eastern Europe'
Malawi,Sub-Saharan Africa,131,When  'Malawi' then 'Sub-Saharan Africa',When  'Malawi' then 'Sub-Saharan Africa'
Sri Lanka,Southern Asia,132,When  'Sri Lanka' then 'Southern Asia',When  'Sri Lanka' then 'Southern Asia'
Cameroon,Sub-Saharan Africa,133,When  'Cameroon' then 'Sub-Saharan Africa',When  'Cameroon' then 'Sub-Saharan Africa'
Bulgaria,Central and Eastern Europe,134,When  'Bulgaria' then 'Central and Eastern Europe',When  'Bulgaria' then 'Central and Eastern Europe'
Egypt,Middle East and Northern Africa,135,When  'Egypt' then 'Middle East and Northern Africa',When  'Egypt' then 'Middle East and Northern Africa'
Yemen,Middle East and Northern Africa,136,When  'Yemen' then 'Middle East and Northern Africa',When  'Yemen' then 'Middle East and Northern Africa'
Angola,Sub-Saharan Africa,137,When  'Angola' then 'Sub-Saharan Africa',When  'Angola' then 'Sub-Saharan Africa'
Mali,Sub-Saharan Africa,138,When  'Mali' then 'Sub-Saharan Africa',When  'Mali' then 'Sub-Saharan Africa'
Congo (Brazzaville),Sub-Saharan Africa,139,When  'Congo (Brazzaville)' then 'Sub-Saharan Africa',When  'Congo (Brazzaville)' then 'Sub-Saharan Africa'
Comoros,Sub-Saharan Africa,140,When  'Comoros' then 'Sub-Saharan Africa',When  'Comoros' then 'Sub-Saharan Africa'
Uganda,Sub-Saharan Africa,141,When  'Uganda' then 'Sub-Saharan Africa',When  'Uganda' then 'Sub-Saharan Africa'
Senegal,Sub-Saharan Africa,142,When  'Senegal' then 'Sub-Saharan Africa',When  'Senegal' then 'Sub-Saharan Africa'
Gabon,Sub-Saharan Africa,143,When  'Gabon' then 'Sub-Saharan Africa',When  'Gabon' then 'Sub-Saharan Africa'
Niger,Sub-Saharan Africa,144,When  'Niger' then 'Sub-Saharan Africa',When  'Niger' then 'Sub-Saharan Africa'
Cambodia,Southeastern Asia,145,When  'Cambodia' then 'Southeastern Asia',When  'Cambodia' then 'Southeastern Asia'
Tanzania,Sub-Saharan Africa,146,When  'Tanzania' then 'Sub-Saharan Africa',When  'Tanzania' then 'Sub-Saharan Africa'
Madagascar,Sub-Saharan Africa,147,When  'Madagascar' then 'Sub-Saharan Africa',When  'Madagascar' then 'Sub-Saharan Africa'
Central African Republic,Sub-Saharan Africa,148,When  'Central African Republic' then 'Sub-Saharan Africa',When  'Central African Republic' then 'Sub-Saharan Africa'
Chad,Sub-Saharan Africa,149,When  'Chad' then 'Sub-Saharan Africa',When  'Chad' then 'Sub-Saharan Africa'
Guinea,Sub-Saharan Africa,150,When  'Guinea' then 'Sub-Saharan Africa',When  'Guinea' then 'Sub-Saharan Africa'
Ivory Coast,Sub-Saharan Africa,151,When  'Ivory Coast' then 'Sub-Saharan Africa',When  'Ivory Coast' then 'Sub-Saharan Africa'
Burkina Faso,Sub-Saharan Africa,152,When  'Burkina Faso' then 'Sub-Saharan Africa',When  'Burkina Faso' then 'Sub-Saharan Africa'
Afghanistan,Southern Asia,153,When  'Afghanistan' then 'Southern Asia',When  'Afghanistan' then 'Southern Asia'
Rwanda,Sub-Saharan Africa,154,When  'Rwanda' then 'Sub-Saharan Africa',When  'Rwanda' then 'Sub-Saharan Africa'
Benin,Sub-Saharan Africa,155,When  'Benin' then 'Sub-Saharan Africa',When  'Benin' then 'Sub-Saharan Africa'
Syria,Middle East and Northern Africa,156,When  'Syria' then 'Middle East and Northern Africa',When  'Syria' then 'Middle East and Northern Africa'
Burundi,Sub-Saharan Africa,157,When  'Burundi' then 'Sub-Saharan Africa',When  'Burundi' then 'Sub-Saharan Africa'
Togo,Sub-Saharan Africa,158,When  'Togo' then 'Sub-Saharan Africa',When  'Togo' then 'Sub-Saharan Africa'
