,country,Population,Total Number of Suicides,Number of Suicides per 100K Population,GDP for 2015,GDP per Capita,region,happiness rank
54,Switzerland,7892502,1073,164.66,679289166858.0,86068,Western Europe,1.0
24,Iceland,308554,40,140.65,16942247374.0,54909,Western Europe,2.0
14,Denmark,5383060,564,121.42,301298464861.0,55972,Western Europe,3.0
38,Norway,4882909,590,136.43,386663139403.0,79187,Western Europe,4.0
17,Finland,5181797,731,161.18999999999997,232464833066.0,44862,Western Europe,6.0
36,Netherlands,16057342,1873,126.93,757999453314.0,47206,Western Europe,7.0
53,Sweden,9114524,1182,149.29999999999995,497918109302.0,54629,Western Europe,8.0
3,Australia,22240785,3027,154.18000000000004,1349034029453.0,60656,Australia and New Zealand,10.0
25,Israel,7516180,342,65.91,299093839690.0,39793,Middle East and Northern Africa,11.0
4,Austria,8219386,1251,194.62,382065930308.0,46484,Western Europe,13.0
35,Mexico,114357884,6234,66.57,1169622672463.0,10228,Latin America and Caribbean,14.0
60,United States,300078511,44189,175.40999999999997,18120714000000.0,60387,North America,15.0
7,Brazil,191087085,11163,77.45,1802214373741.0,9431,Latin America and Caribbean,16.0
32,Luxembourg,537748,64,134.39999999999998,57784495265.0,107456,Western Europe,17.0
5,Belgium,10624356,1867,196.66,455039563133.0,42830,Western Europe,19.0
59,United Kingdom,61082942,4910,86.74,2885570309161.0,47240,Western Europe,21.0
49,Singapore,3719115,329,109.28999999999998,304097759674.0,81766,Southeastern Asia,24.0
39,Panama,3583382,110,44.89999999999999,54315722500.0,15158,Latin America and Caribbean,25.0
19,Germany,78136683,10088,150.34,3375611100742.0,43201,Western Europe,26.0
8,Chile,16565725,1838,147.68,243999477738.0,14729,Latin America and Caribbean,27.0
42,Qatar,2354147,66,18.84,164641483516.0,69937,Middle East and Northern Africa,28.0
1,Argentina,39699624,3073,112.13,594749285413.0,14981,Latin America and Caribbean,30.0
13,Czech Republic,9989325,1387,170.86999999999995,186829940546.0,18703,Central and Eastern Europe,31.0
61,Uruguay,3190795,630,270.02000000000004,53274304222.0,16696,Latin America and Caribbean,32.0
9,Colombia,44490427,2332,70.39999999999998,291519591533.0,6552,Latin America and Caribbean,33.0
55,Thailand,61261276,4205,81.15000000000002,401399422443.0,6552,Southeastern Asia,34.0
52,Spain,44186528,3604,97.38000000000002,1197789902774.0,27108,Western Europe,36.0
33,Malta,410637,34,78.26999999999998,10574026838.0,25750,Western Europe,37.0
22,Guatemala,14258397,494,44.85,63767597194.0,4472,Latin America and Caribbean,43.0
27,Japan,120376310,23092,206.04,4394977752878.0,36510,Eastern Asia,46.0
15,Ecuador,14534024,1073,97.39,99290381000.0,6832,Latin America and Caribbean,48.0
26,Italy,58117697,3988,78.45,1832868490534.0,31537,Western Europe,50.0
28,Kazakhstan,15646752,2872,238.02,184388432149.0,11784,Central and Eastern Europe,54.0
50,Slovenia,1954632,422,264.81,43072415017.0,22036,Central and Eastern Europe,55.0
31,Lithuania,2753926,896,385.48,41508609233.0,15073,Central and Eastern Europe,56.0
37,Nicaragua,5476483,315,69.86999999999999,12611087031.0,2303,Latin America and Caribbean,57.0
40,Poland,36086575,5420,166.99,477355617456.0,13228,Central and Eastern Europe,60.0
10,Croatia,4001669,739,229.68,49425513611.0,12351,Central and Eastern Europe,62.0
12,Cyprus,796037,40,49.59,19676167240.0,24718,Western Europe,67.0
57,Turkmenistan,4886514,133,28.48000000000001,35799628571.0,7326,Central and Eastern Europe,70.0
34,Mauritius,1154848,104,99.96999999999996,11692287066.0,10125,Sub-Saharan Africa,71.0
16,Estonia,1243450,195,205.38,22566956982.0,18149,Central and Eastern Europe,73.0
56,Turkey,71880464,1532,28.47,859796872794.0,11961,Middle East and Northern Africa,76.0
29,Kyrgyzstan,5195827,417,98.37,6678178340.0,1285,Central and Eastern Europe,77.0
44,Romania,18863927,2228,133.54999999999998,177911101680.0,9431,Central and Eastern Europe,86.0
47,Serbia,6766406,1062,205.97,37160332465.0,5492,Central and Eastern Europe,87.0
30,Latvia,1875522,387,251.47000000000008,26972863394.0,14382,Central and Eastern Europe,89.0
20,Greece,10331286,529,56.06,195541761243.0,18927,Western Europe,102.0
23,Hungary,9389519,1868,257.2699999999999,122879042002.0,13087,Central and Eastern Europe,104.0
58,Ukraine,40345446,7574,244.72,91030959455.0,2256,Central and Eastern Europe,111.0
51,South Africa,49627460,482,13.000000000000002,317741039198.0,6403,Sub-Saharan Africa,113.0
2,Armenia,2795335,74,45.28,10553337673.0,3775,Central and Eastern Europe,127.0
18,Georgia,3458400,192,84.68,13993546732.0,4046,Central and Eastern Europe,130.0
