country,Population,Total Number of Suicides,Number of Suicides per 100K Population,GDP for 2015,GDP per Capita
Antigua and Barbuda,91889,1,15.62,1364863037.0,14853
Argentina,39699624,3073,112.13000000000001,594749285413.0,14981
Armenia,2795335,74,45.28,10553337673.0,3775
Australia,22240785,3027,154.18000000000004,1349034029453.0,60656
Austria,8219386,1251,194.62,382065930308.0,46484
Belgium,10624356,1867,196.66,455039563133.0,42830
Belize,319835,26,135.46,1778567600.0,5561
Brazil,191087085,11163,77.45,1802214373741.0,9431
Chile,16565725,1838,147.68,243999477738.0,14729
Colombia,44490427,2332,70.39999999999999,291519591533.0,6552
Croatia,4001669,739,229.67999999999998,49425513611.0,12351
Cuba,10832068,1511,194.31,87132800000.0,8044
Cyprus,796037,40,49.589999999999996,19676167240.0,24718
Czech Republic,9989325,1387,170.86999999999998,186829940546.0,18703
Denmark,5383060,564,121.42,301298464861.0,55972
Ecuador,14534024,1073,97.39,99290381000.0,6832
Estonia,1243450,195,205.37999999999997,22566956982.0,18149
Finland,5181797,731,161.18999999999997,232464833066.0,44862
Georgia,3458400,192,84.68,13993546732.0,4046
Germany,78136683,10088,150.34,3375611100742.0,43201
Greece,10331286,529,56.059999999999995,195541761243.0,18927
Grenada,96892,0,0.0,997007926.0,10290
Guatemala,14258397,494,44.85,63767597194.0,4472
Hungary,9389519,1868,257.2699999999999,122879042002.0,13087
Iceland,308554,40,140.65,16942247374.0,54909
Israel,7516180,342,65.91,299093839690.0,39793
Italy,58117697,3988,78.45,1832868490534.0,31537
Japan,120376310,23092,206.04,4394977752878.0,36510
Kazakhstan,15646752,2872,238.01999999999998,184388432149.0,11784
Kyrgyzstan,5195827,417,98.36999999999999,6678178340.0,1285
Latvia,1875522,387,251.47000000000006,26972863394.0,14382
Lithuania,2753926,896,385.48,41508609233.0,15073
Luxembourg,537748,64,134.39999999999998,57784495265.0,107456
Malta,410637,34,78.26999999999998,10574026838.0,25750
Mauritius,1154848,104,99.96999999999997,11692287066.0,10125
Mexico,114357884,6234,66.57,1169622672463.0,10228
Netherlands,16057342,1873,126.93,757999453314.0,47206
Nicaragua,5476483,315,69.86999999999999,12611087031.0,2303
Norway,4882909,590,136.43,386663139403.0,79187
Panama,3583382,110,44.89999999999999,54315722500.0,15158
Poland,36086575,5420,166.99,477355617456.0,13228
Puerto Rico,3469521,226,85.58000000000001,103143500000.0,29728
Qatar,2354147,66,18.84,164641483516.0,69937
Republic of Korea,48671752,13510,389.14000000000004,1382764027114.0,28410
Romania,18863927,2228,133.54999999999998,177911101680.0,9431
Russian Federation,137018943,25432,236.91999999999996,1368400705491.0,9987
Saint Vincent and Grenadines,100948,3,28.080000000000002,756666667.0,7496
Serbia,6766406,1062,205.97,37160332465.0,5492
Seychelles,85949,7,81.25,1375604279.0,16005
Singapore,3719115,329,109.28999999999998,304097759674.0,81766
Slovenia,1954632,422,264.81,43072415017.0,22036
South Africa,49627460,482,13.000000000000002,317741039198.0,6403
Spain,44186528,3604,97.38000000000002,1197789902774.0,27108
Sweden,9114524,1182,149.29999999999998,497918109302.0,54629
Switzerland,7892502,1073,164.66,679289166858.0,86068
Thailand,61261276,4205,81.15000000000002,401399422443.0,6552
Turkey,71880464,1532,28.470000000000002,859796872794.0,11961
Turkmenistan,4886514,133,28.480000000000008,35799628571.0,7326
Ukraine,40345446,7574,244.72,91030959455.0,2256
United Kingdom,61082942,4910,86.74,2885570309161.0,47240
United States,300078511,44189,175.40999999999997,18120714000000.0,60387
Uruguay,3190795,630,270.02000000000004,53274304222.0,16696
